SPDR,Crypto,Gold,ETH,T5YIE,T10YIE,T5YIFR
44.380001,1000,175,0.714876,1.3,1.64,1.98
44.779999,973.64,174,0.729347,1.28,1.62,1.96
44.865,1003.075,174.4,0.707703,1.295,1.625,1.955
44.8500005,947.28,175.2,1.05767,1.295,1.625,1.955
44.950001,1058.87,173.5,1.23767,1.31,1.63,1.95
44.75,1046.53,169.5,1.82819,1.28,1.62,1.96
45.049999,1008.57,180,1.83231,1.33,1.71,2.09
45.17,993.85,179,1.69244,1.41,1.78,2.15
45.290001,936.935,177.25,1.51268,1.4,1.75,2.1
45.3450015,881.225,178.37,1.20073,1.4,1.76,2.12
45.2600005,880.02,177.77,1.09508,1.39,1.765,2.14
45.400002,882.43,180.25,1.25117,1.4,1.77,2.14
45.119999,874.12,177.1,1.46545,1.38,1.76,2.14
45.380001,803.66,178.25,1.41899,1.41,1.8,2.19
44.950001,761.14,176,1.39285,1.4,1.79,2.18
45.599998,773.17,178.75,1.35618,1.45,1.8,2.15
45.384998,813.99,176.2,1.23411,1.45,1.8,2.15
45.1399995,785.2,175.8,1.14198,1.38,1.78,2.18
45.169998,842.78,175,1.16774,1.36,1.75,2.14
45.110001,773.94,175.75,1.14679,1.38,1.78,2.18
44.009998,761.2,175.5,1.18894,1.34,1.72,2.1
43.779999,740.32,174,1.18326,1.42,1.78,2.14
43.439999,745.55,177.5,1.32211,1.46,1.8,2.14
43.6749995,763.92,177,1.3501,1.465,1.81,2.155
43.7299995,750.78,177.65,1.35144,1.47,1.815,2.16
43.91,777.06,179,1.29173,1.47,1.82,2.17
43.549999,821.65,176.5,1.26749,1.47,1.81,2.15
43.990002,929.25,178,1.27439,1.52,1.85,2.18
43.68,1007.3,177.25,1.33472,1.46,1.8,2.14
44.189999,1001.775,175.8,1.2973,1.49,1.81,2.13
44.2649995,1008.52,175.71,1.24782,1.505,1.81,2.115
44.2800005,996.25,174.94,1.23828,1.53,1.825,2.12
44.34,1020.79,176.25,1.20568,1.52,1.81,2.1
44.220001,1090.12,174.25,1.16993,1.54,1.84,2.14
44.02,1147.82,175,0.980469,1.61,1.9,2.19
44.27,1269.26,173.4,1.04649,1.62,1.88,2.14
44.27,1286.57,174.5,0.934392,1.6,1.89,2.18
44.48,1394.99,174.26,0.878408,1.63,1.91,2.19
44.4249995,1303.88,175.3,0.941645,1.64,1.93,2.22
44.48,1486.1,174,0.905947,1.66,1.93,2.2
44.369999,1336.1,174.5,0.875142,1.62,1.93,2.24
43.66,1347.59,174.9,0.851872,1.6,1.89,2.18
43.830002,1436.12,178.6,0.8846,1.56,1.88,2.2
43.799999,1475.565,184,0.943408,1.62,1.92,2.22
43.4099995,1493.495,181.85,0.918502,1.62,1.92,2.22
42.880001,1515.01,182.88,0.902008,1.63,1.89,2.15
43.02,1471.98,181.4,0.896117,1.625,1.89,2.155
42.740002,1530.52,181,0.81789,1.63,1.89,2.15
42.669998,1579.23,184.25,0.734289,1.62,1.89,2.16
42.150002,1556.77,183.75,0.78427,1.69,1.94,2.19
41.84,1550.515,184.75,0.720667,1.73,1.97,2.21
41.8950005,1525.05,184.35,0.577433,1.755,1.98,2.205
42.08,1544.26,184.05,0.657358,1.775,1.98,2.185
41.950001,1505.84,185.25,0.731122,1.78,1.99,2.2
42.209999,1487.61,185,0.687993,1.77,1.97,2.17
42.599998,1441.63,183,0.674621,1.74,1.94,2.14
42.599998,1298.36,182.25,0.687157,1.77,1.94,2.11
42.32,1317.155,181.75,0.668705,1.75,1.94,2.13
42.32,1301.205,180.82,0.62445,1.74,1.925,2.11
42.32,1335.95,180.47,0.65061,1.725,1.895,2.065
