Date,response
3/16/2018,1000
3/17/2018,973.64
3/18/2018,1003.075
3/19/2018,947.28
3/20/2018,1058.87
3/21/2018,1046.53
3/22/2018,1008.57
3/23/2018,993.85
3/24/2018,936.935
3/25/2018,881.225
3/26/2018,880.02
3/27/2018,882.43
3/28/2018,874.12
3/29/2018,803.66
3/30/2018,761.14
3/31/2018,773.17
4/1/2018,813.99
4/2/2018,785.2
4/3/2018,842.78
4/4/2018,773.94
4/5/2018,761.2
4/6/2018,740.32
4/7/2018,745.55
4/8/2018,763.92
4/9/2018,750.78
4/10/2018,777.06
4/11/2018,821.65
4/12/2018,929.25
4/13/2018,1007.3
4/14/2018,1001.775
4/15/2018,1008.52
4/16/2018,996.25
4/17/2018,1020.79
4/18/2018,1090.12
4/19/2018,1147.82
4/20/2018,1269.26
4/21/2018,1286.57
4/22/2018,1394.99
4/23/2018,1303.88
4/24/2018,1486.1
4/25/2018,1336.1
4/26/2018,1347.59
4/27/2018,1436.12
4/28/2018,1475.565
4/29/2018,1493.495
4/30/2018,1515.01
5/1/2018,1471.98
5/2/2018,1530.52
5/3/2018,1579.23
5/4/2018,1556.77
5/5/2018,1550.515
5/6/2018,1525.05
5/7/2018,1544.26
5/8/2018,1505.84
5/9/2018,1487.61
5/10/2018,1441.63
5/11/2018,1298.36
5/12/2018,1317.155
5/13/2018,1301.205
5/14/2018,1335.95
5/15/2018,1266.46
5/16/2018,1205.28
5/17/2018,1194.98
5/18/2018,1207.62
5/19/2018,1209.65
5/20/2018,1188.625
5/21/2018,1211.68
5/22/2018,1165.57
5/23/2018,1042.51
5/24/2018,1083.99
5/25/2018,1052.72
5/26/2018,1024.405
5/27/2018,1023.215
5/28/2018,996.09
5/29/2018,1050.34
5/30/2018,1018.66
5/31/2018,1079.53
6/1/2018,1054.31
6/2/2018,1081.24
6/3/2018,1123.095
6/4/2018,1108.17
6/5/2018,1138.02
6/6/2018,1108.78
6/7/2018,1140.73
6/8/2018,1123.65
6/9/2018,1026.095
6/10/2018,909.63
6/11/2018,928.54
6/12/2018,890.72
6/13/2018,853.14
6/14/2018,939.07
6/15/2018,911.93
6/16/2018,915.22
6/17/2018,926.465
6/18/2018,918.51
6/19/2018,934.42
6/20/2018,927.36
6/21/2018,912.68
6/22/2018,823.19
6/23/2018,810.72
6/24/2018,781.665
6/25/2018,798.25
6/26/2018,765.08
6/27/2018,766.26
6/28/2018,751.44
6/29/2018,712.12
6/30/2018,773.7
7/1/2018,832.74
7/2/2018,835.28
7/3/2018,830.2
7/4/2018,837.84
7/5/2018,803.53
7/6/2018,804.3
7/7/2018,803.815
7/8/2018,778.65
7/9/2018,803.33
7/10/2018,753.97
7/11/2018,743.87
7/12/2018,728.17
7/13/2018,734.21
7/14/2018,781.555
7/15/2018,858.215
7/16/2018,828.9
7/17/2018,887.53
7/18/2018,903.36
7/19/2018,889.34
7/20/2018,834.61
7/21/2018,842.16
7/22/2018,873.9
7/23/2018,849.71
7/24/2018,898.09
7/25/2018,902.15
7/26/2018,908.13
7/27/2018,889.88
7/28/2018,870.165
7/29/2018,829.955
7/30/2018,850.45
7/31/2018,809.46
8/1/2018,794.92
8/2/2018,769.7
8/3/2018,765.82
8/4/2018,748.98
8/5/2018,730.225
8/6/2018,732.14
8/7/2018,728.31
8/8/2018,634.77
8/9/2018,651.66
8/10/2018,642.66
8/11/2018,606.825
8/12/2018,549.69
8/13/2018,570.99
8/14/2018,528.39
8/15/2018,566.05
8/16/2018,570.88
8/17/2018,606.5
8/18/2018,596.44
8/19/2018,577.915
8/20/2018,586.38
8/21/2018,569.45
8/22/2018,557.98
8/23/2018,561.49
8/24/2018,578.75
8/25/2018,588.51
8/26/2018,626
8/27/2018,598.27
8/28/2018,653.73
8/29/2018,635.49
8/30/2018,605.51
