Date,response
8/8/2015,0.714876
8/9/2015,0.729347
8/10/2015,0.707703
8/11/2015,1.05767
8/12/2015,1.23767
8/13/2015,1.82819
8/14/2015,1.83231
8/15/2015,1.69244
8/16/2015,1.51268
8/17/2015,1.20073
8/18/2015,1.09508
8/19/2015,1.25117
8/20/2015,1.46545
8/21/2015,1.41899
8/22/2015,1.39285
8/23/2015,1.35618
8/24/2015,1.23411
8/25/2015,1.14198
8/26/2015,1.16774
8/27/2015,1.14679
8/28/2015,1.18894
8/29/2015,1.18326
8/30/2015,1.32211
8/31/2015,1.3501
9/1/2015,1.35144
9/2/2015,1.29173
9/3/2015,1.26749
9/4/2015,1.27439
9/5/2015,1.33472
9/6/2015,1.2973
9/7/2015,1.24782
9/8/2015,1.23828
9/9/2015,1.20568
9/10/2015,1.16993
9/11/2015,0.980469
9/12/2015,1.04649
9/13/2015,0.934392
9/14/2015,0.878408
9/15/2015,0.941645
9/16/2015,0.905947
9/17/2015,0.875142
9/18/2015,0.851872
9/19/2015,0.8846
9/20/2015,0.943408
9/21/2015,0.918502
9/22/2015,0.902008
9/23/2015,0.896117
9/24/2015,0.81789
9/25/2015,0.734289
9/26/2015,0.78427
9/27/2015,0.720667
9/28/2015,0.577433
9/29/2015,0.657358
9/30/2015,0.731122
10/1/2015,0.687993
10/2/2015,0.674621
10/3/2015,0.687157
10/4/2015,0.668705
10/5/2015,0.62445
10/6/2015,0.65061
10/7/2015,0.609239
10/8/2015,0.619139
10/9/2015,0.651422
10/10/2015,0.626888
10/11/2015,0.63516
10/12/2015,0.628279
10/13/2015,0.608228
10/14/2015,0.521926
10/15/2015,0.559523
10/16/2015,0.536197
10/17/2015,0.548027
10/18/2015,0.51719
10/19/2015,0.488771
10/20/2015,0.43857
10/21/2015,0.449606
10/22/2015,0.565191
10/23/2015,0.538123
10/24/2015,0.567666
10/25/2015,0.613214
10/26/2015,0.738254
10/27/2015,0.863202
10/28/2015,1.01001
10/29/2015,1.19773
10/30/2015,1.05007
10/31/2015,0.918747
11/1/2015,1.05345
11/2/2015,0.989438
11/3/2015,1.00935
11/4/2015,0.907176
11/5/2015,0.908193
11/6/2015,0.92469
11/7/2015,0.923569
11/8/2015,1.02298
11/9/2015,0.99788
11/10/2015,0.933983
11/11/2015,0.797487
11/12/2015,0.896364
11/13/2015,0.901685
11/14/2015,0.888602
11/15/2015,0.910915
11/16/2015,0.928855
11/17/2015,1.00533
11/18/2015,0.99077
11/19/2015,0.954651
11/20/2015,0.928767
11/21/2015,0.977114
11/22/2015,0.967151
11/23/2015,0.946755
11/24/2015,0.901607
11/25/2015,0.863464
11/26/2015,0.887869
11/27/2015,0.866476
11/28/2015,0.915583
11/29/2015,0.880089
11/30/2015,0.873777
12/1/2015,0.876285
12/2/2015,0.820467
12/3/2015,0.814174
12/4/2015,0.843958
12/5/2015,0.860484
12/6/2015,0.833494
12/7/2015,0.806997
12/8/2015,0.822
12/9/2015,0.791476
12/10/2015,0.84287
12/11/2015,0.913404
12/12/2015,0.970963
12/13/2015,0.952951
12/14/2015,0.993378
12/15/2015,1.01155
12/16/2015,0.990193
12/17/2015,0.940974
12/18/2015,0.922422
12/19/2015,0.910967
12/20/2015,0.902649
12/21/2015,0.901743
12/22/2015,0.867954
12/23/2015,0.860902
12/24/2015,0.862971
12/25/2015,0.870139
12/26/2015,0.858561
12/27/2015,0.855209
12/28/2015,0.848085
12/29/2015,0.872567
12/30/2015,0.909437
12/31/2015,0.933432
1/1/2016,0.952636
1/2/2016,0.938792
1/3/2016,0.971632
1/4/2016,0.954406
1/5/2016,0.950168
1/6/2016,0.952551
