Date ,Twitter,VIX
2/6/18,100,29.98
2/7/18,99.5,27.73
2/8/18,95.76,33.46
2/9/18,97.16,29.06
2/10/18,98.575,25.29
2/11/18,99.05333333,23.28
2/12/18,98.42,25.61
2/13/18,98.73,24.97
2/14/18,100.01,19.26
2/15/18,101.26,19.13
2/16/18,101.37,19.46
2/17/18,100.73,20.6
2/18/18,100.44,20.31
2/19/18,100.37,19.78
2/20/18,100.73,20.6
2/21/18,100.15,20.02
2/22/18,100.23,18.72
2/23/18,101.86,16.49
2/24/18,102.43,17.195
2/25/18,101.8366667,18.08
2/26/18,103.08,15.8
2/27/18,101.78,18.59
2/28/18,100.65,19.85
3/1/18,99.35,22.47
3/2/18,99.95,19.59
3/3/18,101.07,18.545
3/4/18,101.1166667,18.28333333
3/5/18,100.99,18.73
3/6/18,101.15,18.36
3/7/18,101.21,17.76
3/8/18,101.68,16.54
3/9/18,103.34,14.64
3/10/18,102.815,16.065
3/11/18,102.55,16.45333333
3/12/18,103.03,15.78
3/13/18,102.6,16.35
3/14/18,102.02,17.23
3/15/18,101.84,16.59
3/16/18,102.16,15.8
3/17/18,100.88,18.61
3/18/18,100.9033333,18.36
3/19/18,100.76,19.02
3/20/18,101,18.2
3/21/18,100.95,17.86
3/22/18,98.44,23.34
3/23/18,96.47,24.87
3/24/18,98.33,21.765
3/25/18,97.96666667,22.13333333
3/26/18,99.15,21.03
3/27/18,97.51,22.5
3/28/18,97.24,22.87
3/29/18,98.54,19.97
3/30/18,96.27,23.62
3/31/18,96.905,22.36
4/1/18,97.50666667,21.59333333
4/2/18,96.27,23.62
4/3/18,97.54,21.1
4/4/18,98.71,20.06
4/5/18,99.1,18.94
4/6/18,96.95,21.49
4/7/18,98.14,21.12
4/8/18,98.25,20.82666667
4/9/18,97.29,21.77
4/10/18,98.99,20.47
4/11/18,98.47,20.24
4/12/18,99.24,18.49
4/13/18,99.1,17.41
4/14/18,100.415,15.905
4/15/18,100.6033333,15.80333333
4/16/18,100,16.56
4/17/18,100.83,15.25
4/18/18,100.98,15.6
4/19/18,100.07,15.96
4/20/18,99.43,16.88
4/21/18,98.985,17.18
4/22/18,98.83,17.4
4/23/18,99.58,16.34
4/24/18,98.39,18.02
4/25/18,98.52,17.84
4/26/18,99.53,16.24
4/27/18,99.67,15.41
4/28/18,98.565,15.71
4/29/18,98.25333333,15.79666667
4/30/18,98.58,15.93
5/1/18,98.55,15.49
5/2/18,97.63,15.97
5/3/18,97.42,15.9
5/4/18,98.31,14.77
5/5/18,98.77,14.73
5/6/18,99.15,14.29333333
5/7/18,98.74,14.75
5/8/18,98.8,14.71
5/9/18,99.91,13.42
5/10/18,100.76,13.23
5/11/18,101.07,12.65
5/12/18,100.9,13.78
5/13/18,100.9033333,13.66
5/14/18,101.27,12.93
5/15/18,100.53,14.63
5/16/18,100.91,13.42
5/17/18,100.84,13.43
5/18/18,100.5,13.42
5/19/18,101.09,13.15
5/20/18,101.1666667,12.96
5/21/18,101.27,13.08
5/22/18,100.91,13.22
5/23/18,101.32,12.58
5/24/18,101.06,12.53
5/25/18,100.7,13.22
5/26/18,99.6,17.02
5/27/18,100.295,15.98
5/28/18,100.2966667,15.79666667
5/29/18,99.6,17.02
5/30/18,100.99,14.94
5/31/18,100.3,15.43
6/1/18,101.5,13.46
6/2/18,101.975,12.57
6/3/18,102.2733333,12.26
6/4/18,101.95,12.74
6/5/18,102,12.4
6/6/18,102.87,11.64
6/7/18,102.58,12.13
6/8/18,102.84,12.18
6/9/18,103.055,12.345
6/10/18,102.9566667,12.54333333
6/11/18,102.94,12.35
6/12/18,103.17,12.34
6/13/18,102.76,12.94
6/14/18,103.11,12.12
6/15/18,102.92,11.98
6/16/18,102.535,12.83
6/17/18,102.5566667,12.81666667
6/18/18,102.73,12.31
6/19/18,102.34,13.35
6/20/18,102.6,12.79
6/21/18,101.92,14.64
6/22/18,101.95,13.77
6/23/18,100.49,16.625
6/24/18,100.2133333,17.05333333
6/25/18,100.36,17.33
6/26/18,100.62,15.92
6/27/18,99.66,17.91
6/28/18,100.34,16.85
6/29/18,100.4,16.09
6/30/18,100.54,15.87
7/1/18,100.54,15.87
7/2/18,100.85,15.6
7/3/18,100.23,16.14
7/4/18,101.645,14.17
7/5/18,101.15,14.97
7/6/18,102.14,13.37
7/7/18,103.27,12.665
7/8/18,103.1,12.98666667
7/9/18,103.08,12.69
7/10/18,103.46,12.64
7/11/18,102.76,13.63
7/12/18,103.82,12.58
7/13/18,103.91,12.18
7/14/18,104.12,12.445
7/15/18,104.2166667,12.33
7/16/18,103.89,12.83
7/17/18,104.35,12.06
7/18/18,104.41,12.1
7/19/18,103.9,12.87
7/20/18,103.93,12.86
7/21/18,104.53,12.515
7/22/18,104.9833333,12.44
7/23/18,104.2,12.62
7/24/18,104.86,12.41
7/25/18,105.89,12.29
7/26/18,105.26,12.14
7/27/18,104.45,13.03
7/28/18,103.945,13.545
7/29/18,104.0433333,13.41333333
7/30/18,103.77,14.26
7/31/18,104.12,12.83
8/1/18,104.24,13.15
8/2/18,104.86,12.19
8/3/18,105.32,11.64
8/4/18,105.875,11.1
8/5/18,105.9266667,11.01666667
8/6/18,105.7,11.27
8/7/18,106.05,10.93
8/8/18,106.03,10.85
8/9/18,105.93,11.27
8/10/18,105.28,13.16
8/11/18,105.255,14.045
8/12/18,105.05,14.24333333
8/13/18,104.92,14.78
8/14/18,105.59,13.31
8/15/18,104.64,14.64
8/16/18,105.53,13.45
8/17/18,105.86,12.64
8/18/18,106.15,12.675
8/19/18,106.2133333,12.53333333
8/20/18,106.06,12.49
8/21/18,106.24,12.86
8/22/18,106.34,12.25
8/23/18,106.26,12.41
8/24/18,106.89,11.99
8/25/18,107.7,12.33
8/26/18,107.9533333,12.30333333
8/27/18,107.7,12.16
8/28/18,107.7,12.5
8/29/18,108.46,12.25
8/30/18,108.09,13.53
8/31/18,108.09,12.86
9/1/18,107.97,13.16
9/2/18,107.77,13.535
9/3/18,107.5433333,13.90666667
9/4/18,107.97,13.16
9/5/18,107.57,13.91
9/6/18,107.09,14.65
9/7/18,106.86,14.88
9/8/18,107.315,13.69
9/9/18,107.4133333,13.50666667
9/10/18,107.03,14.16
9/11/18,107.6,13.22
9/12/18,107.61,13.14
9/13/18,108.35,12.37
9/14/18,108.27,12.07
9/15/18,107.77,13.235
9/16/18,107.85,12.74
9/17/18,107.43,13.68
9/18/18,108.11,12.79
9/19/18,108.01,11.75
9/20/18,108.9,11.8
9/21/18,108.82,11.68
9/22/18,108.86,12.31
9/23/18,108.7866667,12.50333333
9/24/18,108.83,12.2
9/25/18,108.89,12.42
9/26/18,108.64,12.89
9/27/18,109.13,12.41
9/28/18,109.22,12.12
9/29/18,109.72,12.025
9/30/18,109.7333333,11.88666667
10/1/18,109.72,12
10/2/18,109.72,12.05
10/3/18,109.76,11.61
10/4/18,108.55,14.22
10/5/18,107.89,14.82
10/6/18,107.635,15.82
10/7/18,106.3566667,18.2
10/8/18,107.6,15.69
10/9/18,107.67,15.95
10/10/18,103.8,22.96
10/11/18,101.72,24.98
10/12/18,103.59,21.31
10/13/18,103.905,19.46
10/14/18,104.2633333,18.77333333
10/15/18,102.7,21.3
10/16/18,105.11,17.62
10/17/18,104.98,17.4
10/18/18,103.35,20.06
10/19/18,103.15,19.89
10/20/18,102.54,20.175
10/21/18,101.2266667,21.86
10/22/18,102.89,19.64
10/23/18,102.19,20.71
10/24/18,98.6,25.23
10/25/18,100.71,24.22
10/26/18,98.78,24.16
10/27/18,98.185,24.025
10/28/18,98.85333333,23.09333333
10/29/18,97.52,24.7
10/30/18,98.85,23.35
10/31/18,100.19,21.23
11/1/18,101.35,19.34
11/2/18,100.46,19.51
11/3/18,101.09,19.935
11/4/18,101.92,18.74333333
11/5/18,100.76,19.96
11/6/18,101.42,19.91
11/7/18,103.58,16.36
11/8/18,103.39,16.72
11/9/18,102.86,17.36
11/10/18,101.125,20.235
11/11/18,100.8333333,20.57333333
11/12/18,101.32,20.45
11/13/18,100.93,20.02
11/14/18,100.25,21.25
11/15/18,101.1,19.98
11/16/18,101.67,18.14
11/17/18,99.415,21.29
11/18/18,99.13,21.12666667
11/19/18,100.37,20.1
11/20/18,98.46,22.48
