DATE,1-Yr,2-Yr,3-Yr,5-Yr,10-Yr
1/1/1982,6.3945071,6.45204830,6.49681840,,6.19761150
2/1/1982,6.4321077,6.47286480,6.47641850,,6.07923220
3/1/1982,6.3877317,6.29553320,6.20259530,,5.64812990
4/1/1982,6.1406276,6.22273280,6.19158330,,5.71318840
5/1/1982,5.4881669,5.85220170,5.94838960,,5.68997980
6/1/1982,5.4452325,5.83887130,5.91784330,,5.60237860
7/1/1982,6.3748846,6.41206900,6.38419820,,5.91600550
8/1/1982,6.367801,6.21527390,6.14772380,,5.69671590
9/1/1982,6.339422,6.10697010,6.06565230,,5.73321400
10/1/1982,5.1327583,5.34812480,5.45132900,,5.34106510
11/1/1982,4.6539145,4.85027530,4.89959540,,4.71732640
12/1/1982,4.5710148,4.86239900,4.96340790,,4.86242090
1/1/1983,4.8633048,4.93159610,4.94209780,,4.71753100
2/1/1983,4.5956615,4.86028690,4.95756510,,4.86092960
3/1/1983,4.0629447,4.48036730,4.62428980,,4.60999240
4/1/1983,4.6289199,4.83668720,4.89692680,,4.73799180
5/1/1983,4.6186334,4.74204850,4.75749320,,4.53835860
6/1/1983,4.1399507,4.58614570,4.73892650,,4.72088590
7/1/1983,4.9603809,5.05036380,5.07667040,,4.86809490
8/1/1983,5.1924267,5.28889620,5.29839170,,5.01789610
9/1/1983,5.1037494,5.26872620,5.31866210,,5.10797680
10/1/1983,5.1155348,5.19188240,5.21059010,,4.97420050
11/1/1983,5.2028781,5.27479220,5.29891790,,5.06937480
12/1/1983,5.1980904,5.27752210,5.30770430,,5.08937140
1/1/1984,5.2475146,5.32927060,5.33955320,,5.06405910
2/1/1984,5.0622947,5.19819320,5.24086190,,5.03424120
3/1/1984,4.8302654,5.16561680,5.28461430,,5.17368940
4/1/1984,5.4205543,5.54300850,5.57596810,,5.31379830
5/1/1984,5.4580169,5.62749680,5.68344670,,5.44634690
6/1/1984,5.5883874,5.83363560,5.93028020,,5.73513900
7/1/1984,5.692377,5.92408630,5.99603880,,5.73541560
8/1/1984,5.224781,5.51029210,5.60696430,,5.42700670
9/1/1984,5.1047828,5.47418810,5.59613960,,5.44163810
10/1/1984,5.4138126,5.54412750,5.54985500,,5.21476060
11/1/1984,4.9376646,5.13022540,5.19298810,,5.01597440
12/1/1984,4.8509702,5.08562000,5.17084920,,5.03423990
1/1/1985,4.8807597,5.12644960,5.22564950,,5.11429680
2/1/1985,4.6573474,4.97023390,5.09802290,,5.04209320
3/1/1985,4.9883735,5.24731190,5.35995660,,5.26263400
4/1/1985,4.7725855,5.06651830,5.16096320,,5.01977530
5/1/1985,4.7029389,4.95836090,5.06453560,,4.98432500
6/1/1985,4.716909,4.72762710,4.74556910,,4.59132780
7/1/1985,4.407939,4.59799830,4.66613560,,4.56232680
8/1/1985,4.4287764,4.67561460,4.77564960,,4.71526090
9/1/1985,4.4613628,4.64870830,4.72111520,,4.62391610
10/1/1985,4.4118946,4.61865420,4.69896380,,4.61522710
11/1/1985,4.2730751,4.49678620,4.57729230,,4.49884550
12/1/1985,4.0037965,4.30059020,4.40329090,,4.36551580
1/1/1986,3.9759159,4.11553170,4.17814700,,4.13878840
2/1/1986,3.9713373,4.13530330,4.19058700,,4.11817260
3/1/1986,3.4802235,3.73828240,3.79914210,,3.73676110
4/1/1986,3.0175747,3.40075310,3.51282680,,3.55367330
5/1/1986,2.8514107,3.33316300,3.49173930,,3.60773320
6/1/1986,3.4637795,3.79713160,3.90792220,,3.92727290
